"title","categoryName","address","neighborhood","street","city","postalCode","state","countryCode","website","phone","phoneUnformatted","location/lat","location/lng"
"Riva Mediterranean & Turkish Cuisine","Turkish restaurant","4318 Amboy Rd, Staten Island, NY 10312","Eltingville","4318 Amboy Rd","Staten Island","10312","New York","US","http://rivacafenyc.com/","(718) 306-6665","+17183066665","40.5453225","-74.1593782"
"Sofia's Taqueria (Amboy Rd)","Mexican restaurant","4370 Amboy Rd, Staten Island, NY 10312","Eltingville","4370 Amboy Rd","Staten Island","10312","New York","US","https://sofiastaquerianyc.com/","(718) 619-3394","+17186193394","40.5444622","-74.1608332"
"Annadale Terrace","American restaurant","801 Annadale Rd, Staten Island, NY 10312","Arden Heights","801 Annadale Rd","Staten Island","10312","New York","US","http://www.annadaleterrace.com/","(718) 967-5900","+17189675900","40.5423763","-74.177249"
"Sicilian Kingdom","Pizza restaurant","34 Jefferson Blvd, Staten Island, NY 10312","Woodrow","34 Jefferson Blvd","Staten Island","10312","New York","US","http://siciliankingdom.com/","(718) 619-4580","+17186194580","40.5414825","-74.1784747"
"Ohkami Ramen","Ramen restaurant","3827 Richmond Ave, Staten Island, NY 10312","Eltingville","3827 Richmond Ave","Staten Island","10312","New York","US",,"(718) 734-2288","+17187342288","40.5449209","-74.1653514"
"Richmond Republic","Gastropub","4459 Amboy Rd, Staten Island, NY 10312","Eltingville","4459 Amboy Rd","Staten Island","10312","New York","US","http://richmondrepublic.com/","(718) 356-7425","+17183567425","40.5445801","-74.1628672"
"BOWL ME UP","Restaurant","3848A Richmond Ave, Staten Island, NY 10312","Annadale","3848A Richmond Ave","Staten Island","10312","New York","US","http://www.bowlmeup.com/","(212) 203-7248","+12122037248","40.5439381","-74.1651605"
"Woodrow Diner","Diner","655 Rossville Ave, Staten Island, NY 10309","Rossville","655 Rossville Ave","Staten Island","10309","New York","US","http://www.woodrowdinersi.com/","(718) 984-7373","+17189847373","40.5428974","-74.2067591"
"Joyce's Tavern","Irish pub","3823 Richmond Ave, Staten Island, NY 10312","Eltingville","3823 Richmond Ave","Staten Island","10312","New York","US","http://www.joycestavern.com/","(718) 948-0220","+17189480220","40.545081","-74.16539"
"Mike Jr’s Richmond Diner","Diner","3954 Richmond Ave, Staten Island, NY 10312","Eltingville","3954 Richmond Ave","Staten Island","10312","New York","US","https://whereyoueat.com/Mike-Jrs-Richmond-Diner-989.html","(718) 317-2331","+17183172331","40.5416625","-74.1631208"
"Mamma Mia Pizzeria & Cucina","Pizza restaurant","55 Gunton Pl, Staten Island, NY 10309","Rossville","55 Gunton Pl","Staten Island","10309","New York","US","https://mammamiapizzeriasi.com/","(718) 966-8700","+17189668700","40.5508271","-74.2106184"
"Pacific Kitchen","Chinese restaurant","4255 Amboy Rd, Staten Island, NY 10308","Great Kills","4255 Amboy Rd","Staten Island","10308","New York","US","https://www.pacifickitchenstatenisland.com/","(718) 948-6888","+17189486888","40.547554","-74.158003"
"Campania Coal-Fired Pizza","Pizza restaurant","3900 Richmond Ave, Staten Island, NY 10312","Eltingville","3900 Richmond Ave","Staten Island","10312","New York","US","https://campaniacoalfiredpizza.com/","(718) 227-3286","+17182273286","40.542787","-74.16409"
"Islander Taste Chinese Restaurant","Chinese restaurant","645 Rossville Ave store 104, Staten Island, NY 10309","Rossville","645 Rossville Ave store 104","Staten Island","10309","New York","US","https://www.islandertaste.com/","(718) 967-4160","+17189674160","40.542817","-74.2077981"
"Rossville Best Pizza & Pasta","Pizza restaurant","55 Gunton Pl suite 7, Staten Island, NY 10309","Rossville","55 Gunton Pl suite 7","Staten Island","10309","New York","US","http://rossvillepizzeria.com/","(718) 521-2887","+17185212887","40.5508372","-74.2106081"
"Kuzina","Greek restaurant","895 Huguenot Ave, Staten Island, NY 10312","Woodrow","895 Huguenot Ave","Staten Island","10312","New York","US","https://whereyoueat.com/Kuzina-Huguenot-601.html","(718) 227-2700","+17182272700","40.5327151","-74.1917466"
"Staten Island House of Wings II (Annadale)","Restaurant","20 Jefferson Blvd, Staten Island, NY 10312","Woodrow","20 Jefferson Blvd","Staten Island","10312","New York","US","https://www.houseofwingsnyc.com/","(718) 554-4110","+17185544110","40.5411449","-74.1782401"
"Kingdom Pizza","Pizza restaurant","4350 Amboy Rd, Staten Island, NY 10312","Eltingville","4350 Amboy Rd","Staten Island","10312","New York","US","https://slicelife.com/restaurants/ny/staten-island/10312/kingdom-cafe/menu?utm_campaign=direct_websites&ajs_aid=&client_id=","(718) 948-6988","+17189486988","40.5448741","-74.1601481"
"Mike's Place","Diner","4677 Hylan Blvd, Staten Island, NY 10312","Southeast Annadale","4677 Hylan Blvd","Staten Island","10312","New York","US","https://mikesdinersi.com/","(718) 984-9479","+17189849479","40.5291583","-74.1624972"
"DOUGH by Licastri Eltingville","Pizza restaurant","3831 Richmond Ave, Staten Island, NY 10312","Eltingville","3831 Richmond Ave","Staten Island","10312","New York","US","https://doughbylicastrieltingville.com/","(646) 560-0970","+16465600970","40.5448653","-74.1653819"
"Sunny","Japanese restaurant","1041 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","1041 Beach 20th St","Far Rockaway","11691","New York","US",,"(347) 926-4300","+13479264300","40.6034478","-73.753181"
"🥘DredSurfer🍛Grill🫕","Caribbean restaurant","16-27 Seagirt Blvd, Far Rockaway, NY 11691","Far Rockaway","16-27 Seagirt Blvd","Far Rockaway","11691","New York","US","http://www.dredsurfer.com/","(718) 471-3725","+17184713725","40.59422","-73.750587"
"Tacos Y Mas","Mexican restaurant","1831 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","1831 Mott Ave","Far Rockaway","11691","New York","US",,"(718) 327-3001","+17183273001","40.6029212","-73.7507875"
"La Palma","Salvadoran restaurant","1037 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","1037 Beach 20th St","Far Rockaway","11691","New York","US",,"(718) 471-1223","+17184711223","40.60333","-73.7532071"
"New Deleon","Family restaurant","1858 Cornaga Ave, Far Rockaway, NY 11691","Far Rockaway","1858 Cornaga Ave","Far Rockaway","11691","New York","US",,"(718) 868-0396","+17188680396","40.6024589","-73.7518997"
"Gino's Pizzeria And Restaurant","Pizza restaurant","10-38 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","10-38 Beach 20th St","Far Rockaway","11691","New York","US","https://www.ginospizzeriarestaurantqueens.com/","(718) 471-6825","+17184716825","40.6033204","-73.752898"
"HalalXtreme Grill","Halal restaurant","13-04 Beach Channel Dr, Queens, NY 11691","Far Rockaway","13-04 Beach Channel Dr","Queens","11691","New York","US","https://halalxtremegrill.dine.online/","(718) 489-8744","+17184898744","40.6054152","-73.75493"
"Magic Wok","Chinese restaurant","1145 Beach Channel Dr, Far Rockaway, NY 11691","Far Rockaway","1145 Beach Channel Dr","Far Rockaway","11691","New York","US",,"(718) 327-3570","+17183273570","40.605155","-73.7556659"
"Lucky Cornaga","Chinese restaurant","14-20 Cornaga Ave, Far Rockaway, NY 11691","Far Rockaway","14-20 Cornaga Ave","Far Rockaway","11691","New York","US",,"(718) 868-3051","+17188683051","40.602779","-73.749517"
"Ichiban sushi and cajun harbor","Seafood restaurant","233 Beach 20th St #A, Far Rockaway, NY 11691","Far Rockaway","233 Beach 20th St #A","Far Rockaway","11691","New York","US","https://www.ichibansushiandcajunharbor.com/","(347) 246-6441","+13472466441","40.5964849","-73.7544544"
"Johnny's Classic Quizine","Jamaican restaurant","713 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","713 Beach 20th St","Far Rockaway","11691","New York","US","http://www.johnnysclassicquizine.com/","(718) 868-3268","+17188683268","40.6020252","-73.7536494"
"Taqueria Los Carnales & Coffee shop","Mexican restaurant","261 Beach 20th St, Queens, NY 11691","Far Rockaway","261 Beach 20th St","Queens","11691","New York","US",,"(929) 623-2556","+19296232556","40.5968036","-73.7550781"
"Jamaica Breeze Buffet","Jamaican restaurant","2136 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","2136 Mott Ave","Far Rockaway","11691","New York","US",,"(718) 471-6030","+17184716030","40.605162","-73.7545478"
"Mama's Cooking","Jamaican restaurant","1044 Beach 21st St, Far Rockaway, NY 11691","Far Rockaway","1044 Beach 21st St","Far Rockaway","11691","New York","US",,"(718) 327-3720","+17183273720","40.6034723","-73.7537228"
"El Nuevo Ambiente","Dominican restaurant","2009 New Haven Ave, Far Rockaway, NY 11691","Far Rockaway","2009 New Haven Ave","Far Rockaway","11691","New York","US",,"(718) 327-6326","+17183276326","40.6006264","-73.7541637"
"Buona Pizza","Pizza restaurant","3213 Beach Channel Dr, Far Rockaway, NY 11691","Far Rockaway","3213 Beach Channel Dr","Far Rockaway","11691","New York","US","https://www.orderbuonapizzamenu.com/?%3Futm_source=gbp","(718) 471-7171","+17184717171","40.5979135","-73.7659962"
"Central Pizza - Mott","Pizza restaurant","2015 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","2015 Mott Ave","Far Rockaway","11691","New York","US","https://centralpizza.us/","(718) 535-1515","+17185351515","40.6043528","-73.7533851"
"Popeyes Louisiana Kitchen","Chicken restaurant","1426 Cornaga Ave, Queens, NY 11691","Far Rockaway","1426 Cornaga Ave","Queens","11691","New York","US","https://www.popeyes.com/store-locator/store/restaurant_83165?utm_source=yext&utm_medium=referral&utm_campaign=organic-local-listings","(718) 327-4754","+17183274754","40.6027947","-73.7497809"
"Yumze Food","Restaurant","2001 New Haven Ave, Far Rockaway, NY 11691","Far Rockaway","2001 New Haven Ave","Far Rockaway","11691","New York","US",,"(929) 254-2087","+19292542087","40.600578","-73.7539535"
"D’Lenny","Dominican restaurant","1028 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","1028 Beach 20th St","Far Rockaway","11691","New York","US",,"(347) 727-7300","+13477277300","40.6031166","-73.753028"
"The Pizza Parlor","Pizza restaurant","6 Sneden Ave, Staten Island, NY 10312","Annadale","6 Sneden Ave","Staten Island","10312","New York","US","http://www.pizzaparlorny.com/","(718) 356-4233","+17183564233","40.5404552","-74.1770846"
"Sal & Lloyd's Pizza Place","Pizza restaurant","3850 Richmond Ave, Staten Island, NY 10312","Annadale","3850 Richmond Ave","Staten Island","10312","New York","US","http://salandlloydspizzaplace.com/?utm_source=gbp","(718) 356-5350","+17183565350","40.5438827","-74.1652023"
"Misaki Sushi","Japanese restaurant","645, 108 Rossville Ave, Staten Island, NY 10309","Rossville","645, 108 Rossville Ave","Staten Island","10309","NY","US","http://www.misakisi.com/","(718) 966-8882","+17189668882","40.542817","-74.2077981"
"District","American restaurant","2 Sneden Ave, Staten Island, NY 10312","Annadale","2 Sneden Ave","Staten Island","10312","New York","US","http://districtbarnyc.com/","(718) 984-3700","+17189843700","40.5403647","-74.1771244"
"Mona Lisa Pizzeria","Pizza restaurant","839 Annadale Rd, Staten Island, NY 10312","Arden Heights","839 Annadale Rd","Staten Island","10312","New York","US","http://www.monalisapizzeriasi.com/","(718) 967-1000","+17189671000","40.541357","-74.176878"
"Ocean Sushi","Sushi restaurant","20 Jefferson Blvd, Staten Island, NY 10312","Woodrow","20 Jefferson Blvd","Staten Island","10312","New York","US","https://www.oceansushisi.com/","(718) 966-6888","+17189666888","40.5411672","-74.1782628"
"Tomo Sushi Japanese Cuisine & Bar","Japanese restaurant","4561 Amboy Rd, Staten Island, NY 10312","Annadale","4561 Amboy Rd","Staten Island","10312","New York","US","https://tomostatenisland.com/","(718) 227-5100","+17182275100","40.5430507","-74.1656954"
"Peking Taste","Chinese restaurant","262 Arden Ave, Staten Island, NY 10312","Rossville","262 Arden Ave","Staten Island","10312","New York","US","https://eatpekingtaste.com/","(718) 984-8600","+17189848600","40.5530978","-74.1923432"
"China Chalet","Chinese restaurant","4326 Amboy Rd, Staten Island, NY 10312","Eltingville","4326 Amboy Rd","Staten Island","10312","New York","US","http://chinachaletstatenisland.com/","(347) 838-6886","+13478386886","40.5452123","-74.1595489"
"Kiku","Sushi restaurant","3838 Richmond Ave, Staten Island, NY 10312","Arden Heights","3838 Richmond Ave","Staten Island","10312","New York","US","http://kikustatenisland.com/","(718) 608-8589","+17186088589","40.544347","-74.165731"
"Patrizia's of Brooklyn","Italian restaurant","4255 Amboy Rd, Staten Island, NY 10308","Great Kills","4255 Amboy Rd","Staten Island","10308","New York","US","http://www.patrizias.com/","(718) 317-6600","+17183176600","40.5472234","-74.1579432"
"Original Giuseppes Pizza","Pizza restaurant","4300 Amboy Rd, Staten Island, NY 10312","Eltingville","4300 Amboy Rd","Staten Island","10312","New York","US","http://giuseppespizzasi.com/","(718) 227-8332","+17182278332","40.5456216","-74.1588193"
"Pino's Pizzeria","Pizza restaurant","1026 Rossville Ave, Staten Island, NY 10309","Rossville","1026 Rossville Ave","Staten Island","10309","New York","US","https://www.orderpinospizzeriamenu.com/","(718) 966-9486","+17189669486","40.5518281","-74.2121682"
"The Square on Annadale","Pizza restaurant","833 Annadale Rd, Staten Island, NY 10312","Arden Heights","833 Annadale Rd","Staten Island","10312","New York","US","http://www.thesquarepizza.com/","(718) 967-9999","+17189679999","40.5414275","-74.1771342"
"Tejanos Taqueria","Restaurant","895 Huguenot Ave, Staten Island, NY 10312","Woodrow","895 Huguenot Ave","Staten Island","10312","New York","US","https://www.tejanostaqueria.com/","(718) 908-2227","+17189082227","40.5325912","-74.1919075"
"Better Gourmet Health Kitchen","Health food restaurant","877 Huguenot Ave, Staten Island, NY 10312","Woodrow","877 Huguenot Ave","Staten Island","10312","New York","US","http://justeatbetter.com/","(718) 984-1900","+17189841900","40.5330013","-74.1922246"
"Avocado Sushi","Sushi restaurant","4342 Amboy Rd, Staten Island, NY 10312","Eltingville","4342 Amboy Rd","Staten Island","10312","New York","US","http://www.avocadosushinyc.com/","(718) 605-1100","+17186051100","40.5451014","-74.1599568"
"Sunset Pizza","Pizza restaurant","645 Rossville Ave, Staten Island, NY 10309","Rossville","645 Rossville Ave","Staten Island","10309","New York","US","https://www.sunsetpizzasi.com/?utm_source=gbp","(718) 356-5918","+17183565918","40.54277","-74.207812"
"Chopsticks House","Chinese restaurant","895 Huguenot Ave, Staten Island, NY 10312","Woodrow","895 Huguenot Ave","Staten Island","10312","New York","US","http://www.chopstickshousesi.com/","(718) 605-4230","+17186054230","40.5327151","-74.1917466"
"Sapori Ristorante","Italian restaurant","3800 Richmond Ave, Staten Island, NY 10312","Arden Heights","3800 Richmond Ave","Staten Island","10312","New York","US","http://saporiristorante.com/","(718) 210-0388","+17182100388","40.5450432","-74.1659477"
"Crown Fried Chicken Far Rockaway","Chicken restaurant","1479 Beach Channel Dr, Far Rockaway, NY 11691","Far Rockaway","1479 Beach Channel Dr","Far Rockaway","11691","New York","US",,"(718) 337-2312","+17183372312","40.6021924","-73.7535029"
"Chen Six Flags","Chinese restaurant","558 Beach 25th St, Far Rockaway, NY 11691","Far Rockaway","558 Beach 25th St","Far Rockaway","11691","New York","US",,"(718) 868-8800","+17188688800","40.5999291","-73.7612432"
"Golden Krust Caribbean Restaurant","Caribbean restaurant","1930 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","1930 Mott Ave","Far Rockaway","11691","New York","US","https://locations.goldenkrust.com/ll/US/NY/Far-Rockaway/1930-Mott-Avenue","(718) 327-1261","+17183271261","40.6041515","-73.7522953"
"New Cheung Hing","Chinese restaurant","243 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","243 Beach 20th St","Far Rockaway","11691","New York","US",,"(718) 337-6240","+17183376240","40.5964041","-73.7547157"
"Ralph's Coffee Shop","Diner","21-23 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","21-23 Mott Ave","Far Rockaway","11691","New York","US",,"(718) 327-9724","+17183279724","40.6048199","-73.7545544"
"1krispy chicken & burgers","Restaurant","229 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","229 Beach 20th St","Far Rockaway","11691","New York","US",,"(347) 230-4595","+13472304595","40.5962192","-73.7544395"
"OCEAN PARK MARKET Fried chicken","Deli","1721 Seagirt Blvd, Far Rockaway, NY 11691","Far Rockaway","1721 Seagirt Blvd","Far Rockaway","11691","New York","US",,"(718) 471-7759","+17184717759","40.594771","-73.7519688"
"Viva La Birria","Mexican restaurant","1831 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","1831 Mott Ave","Far Rockaway","11691","New York","US","https://vivalabirriamx.com/mottave","(888) 877-2128","+18888772128","40.6029366","-73.7507391"
